31871075,204
49015378,178
34302276,178
50043919,204
54195155,204
51947770,178
49156434,178
49563482,204
33381440,178
53889195,178
49976157,178
44297214,204
50942848,204
54361233,178
50669579,204
55450793,204
52324352,178
54227840,204
45417580,178
10688087,204
55591956,178
46448135,178
52465517,178
48392130,204
51334987,204
48155497,178
55078892,204
55233835,204
37669202,204
55123217,178
54206437,178
50616709,178
50644779,204
50976355,178
51619140,204
33903706,204
40699647,178
41349620,204
35588268,178
39471543,204
51294699,204
47127212,178
49937639,204
5761806,178
52119487,178
39540759,204
37392201,178
36058515,178
40864725,178
52889968,178
47598000,178
44551181,178
51324023,178
39658899,178
55907205,0
55207818,178
38949254,204
53663446,178
53120878,178
55586654,204
40790715,204
52360290,204
55634687,204
44079064,204
49890330,204
43879608,178
51640452,204
50255604,204
53614301,178
49155972,178
48446332,178
55681856,178
34663472,178
38143066,204
43101054,178
42075566,178
50995120,204
36834362,204
35488470,178
52892636,204
35597243,204
55405934,178
55655158,204
48585644,178
44754647,178
36751857,178
38584903,204
41194868,178
44930365,204
48976193,178
1552989,178
37804907,204
54466949,178
36726689,178
36803183,178
53935229,178
45726255,204
38845939,204
50499219,204
52466645,204
47411326,204
47399791,204
55499154,178
45250396,204
46399973,204
55012652,178
33368084,204
49255656,178
6665719,204
52809437,204
52267977,178
49016007,204
54572485,204
53684220,204
45006013,178
54797747,204
50441649,178
44812834,204
41628915,204
37866091,178
49434001,178
52224091,178
50223248,178
50138918,178
54302243,178
36645497,204
46631076,178
46900795,178
53924832,204
43237678,204
32545060,178
54592133,204
54110316,178
43543828,204
53387400,178
48671014,178
50126972,178
54309124,178
37819681,204
55309876,178
45937837,178
52763079,178
49087451,178
47773710,178
48701797,204
44507537,204
55646106,204
55884889,0
53867146,204
48629665,178
54565836,178
55030544,178
40202646,178
46403670,178
46116848,178
46475690,204
29279221,178
53283346,204
38505519,204
36483322,178
50787904,178
51446904,178
53790480,204
48698816,178
55720536,178
20255067,178
55313382,204
51937772,178
40315046,204
33498913,178
43466953,204
35505400,178
55553432,204
55645837,178
47085705,204
46581111,204
36631276,178
49394658,178
43632304,204
51713440,204
43614842,204
